id;name;child_ids
103;"[{""nl"" : ""Waterpark""}, {""en"" : ""Waterpark""}, {""fr"" : ""Parc hydraulique""}, {""de"" : ""Wasserpark""}, {""es"" : ""Parque acuático""}, {""ca"" : ""Parc aquàtic""}]";
106;"[{""nl"" : ""Museum""}, {""en"" : ""Museum""}, {""fr"" : ""Musée""}, {""de"" : ""Museum""}, {""es"" : ""Museo""}, {""ca"" : ""Museu""}]";[107, 108, 109, 110, 111, 112]
107;"[{""nl"" : ""Natuurmuseum""}, {""en"" : ""Natural history museum""}, {""fr"" : ""Musée naturel""}, {""de"" : ""Museum des Naturgeschichte""}, {""es"" : ""Museo de historia natural""}, {""ca"" : ""Museu d'història natural""}]";
108;"[{""nl"" : ""Archeologisch museum""}, {""en"" : ""Archeological museum""}, {""fr"" : ""Musée d'archéologie""}, {""de"" : ""Archäologisches museum""}, {""es"" : ""Museo Arqueológico""}, {""ca"" : ""Museu Arqueològic""}]";
109;"[{""nl"" : ""Wetenschappelijk museum""}, {""en"" : ""Science museum""}, {""fr"" : ""Musée scientifique""}, {""de"" : ""Wissenschaftsmuseum""}, {""es"" : ""Museo de la Ciencia""}, {""ca"" : ""Museu de la Ciència""}]";
110;"[{""nl"" : ""Kunstmuseum""}, {""en"" : ""Art museum""}, {""fr"" : ""Musée d'art""}, {""de"" : ""Kunstmuseum""}, {""es"" : ""Museo de arte""}, {""ca"" : ""Museu d'art""}]";
111;"[{""nl"" : ""Volksmuseum""}, {""en"" : ""Flok museum""}, {""fr"" : ""Musée national""}, {""de"" : ""Volksmuseum""}, {""es"" : ""Museo folclórico""}, {""ca"" : ""Museu folklòric""}]";
112;"[{""nl"" : ""Geschiedkundig museum""}, {""en"" : ""History museum""}, {""fr"" : ""Musée d'histoire""}, {""de"" : ""Geschichtenmuseum""}, {""es"" : ""Museo histórico""}, {""ca"" : ""Museu històric""}]";
113;"[{""nl"" : ""Zoo""}, {""en"" : ""Zoo""}, {""fr"" : ""Zoo""}, {""de"" : ""Zoo""}, {""es"" : ""Parque zoológico""}, {""ca"" : ""Parc zoològic""}]";
114;"[{""nl"" : ""Safaripark""}, {""en"" : ""Safari-park""}, {""fr"" : ""Parc de safari""}, {""de"" : ""Safari-Park""}, {""es"" : ""Parque de Safari""}, {""ca"" : ""Parc de Safari""}]";
115;"[{""nl"" : ""Themapark""}, {""en"" : ""Amusement Park""}, {""fr"" : ""Parc thématique""}, {""de"" : ""Vergnügungspark""}, {""es"" : ""Parque de atracciones""}, {""ca"" : ""Parc d'atraccions""}]";
116;"[{""nl"" : ""Gevaarlijk punt""}, {""en"" : ""Danger point""}, {""fr"" : ""Points dangereux""}, {""de"" : ""Gefahrenpunkt""}, {""es"" : ""Punto peligroso""}, {""ca"" : ""Punt perillós""}]";
117;"[{""nl"" : ""Route einde""}, {""en"" : ""Route end""}, {""fr"" : ""Fin de route""}, {""de"" : ""Wegende""}, {""es"" : ""Final de la ruta""}, {""ca"" : ""Final de la ruta""}]";
118;"[{""nl"" : ""Navigatie aanwijzing""}, {""en"" : ""Navigation instruction""}, {""fr"" : ""Indication pour navigation""}, {""de"" : ""Navigationsanweisung""}, {""es"" : ""Instrucción de navegación""}, {""ca"" : ""Instrucció de navegació""}]";
119;"[{""nl"" : ""Route kruising""}, {""en"" : ""Route crossing""}, {""fr"" : ""Croisement""}, {""de"" : ""Wegüberfahrt""}, {""es"" : ""Intersección""}, {""ca"" : ""Intersecció""}]";
120;"[{""nl"" : ""Aanwijzing""}, {""en"" : ""Signpost""}, {""fr"" : ""Indication""}, {""de"" : ""Wegweiser""}, {""es"" : ""Señal""}, {""ca"" : ""Senyal""}]";
121;"[{""nl"" : ""Verkeersbord""}, {""en"" : ""Traffic sign""}, {""fr"" : ""Pannaux de signalisation""}, {""de"" : ""Verkehrszeichen""}, {""es"" : ""Señal de tráfico""}, {""ca"" : ""Senyal de tràfic""}]";
